scf	len	male_coverage	female_coverage	chr
LJIJ01005170.1	12522	90.55	38.84	A
LJIJ01005171.1	12522	36.01	26.22	A
LJIJ01005172.1	12519	39.56	28.08	A
LJIJ01005173.1	12514	29.82	25.67	X
LJIJ01005174.1	12512	45.42	90.78	X
LJIJ01005175.1	12510	27.73	20.00	A
LJIJ01005176.1	12504	51.78	48.88	X
LJIJ01005177.1	12500	56.79	42.46	A
LJIJ01005178.1	12498	17.00	19.95	X
LJIJ01005179.1	12497	131.29	65.50	A
LJIJ01005180.1	12495	48.25	36.75	A
LJIJ01005181.1	12494	36.90	19.84	A
LJIJ01005182.1	12492	19.98	10.85	A
LJIJ01005183.1	12492	17.98	23.10	X
LJIJ01005184.1	12490	71.76	47.52	A
LJIJ01005185.1	12486	54.15	73.24	X
LJIJ01005186.1	12483	43.88	35.21	A
LJIJ01005187.1	12480	73.29	41.23	A
LJIJ01005188.1	12479	127.79	119.88	X
LJIJ01005189.1	12477	0.01	29.03	X
LJIJ01005190.1	12475	46.13	36.02	A
LJIJ01005191.1	12474	50.69	60.16	X
LJIJ01005192.1	12474	53.27	39.11	A
LJIJ01005193.1	12471	83.60	25.58	A
LJIJ01005194.1	12469	8.06	23.97	X
LJIJ01005195.1	12466	83.54	48.62	A
LJIJ01005196.1	12464	54.81	29.27	A
LJIJ01005197.1	12464	83.00	39.06	A
LJIJ01005198.1	12462	31.78	41.29	X
LJIJ01005199.1	12458	35.83	11.54	A
LJIJ01005200.1	12458	36.80	15.74	A
LJIJ01005201.1	12448	21.04	20.03	X
LJIJ01005202.1	12448	97.75	35.90	A
LJIJ01005203.1	12447	9.97	61.55	X
LJIJ01005204.1	12441	73.96	49.48	A
LJIJ01005205.1	12440	106.54	59.74	A
LJIJ01005206.1	12438	278.28	129.55	A
LJIJ01005207.1	12437	13.51	29.81	X
LJIJ01005208.1	12436	84.51	74.93	X
LJIJ01005209.1	12422	47.35	34.01	A
LJIJ01005210.1	12422	58.26	20.05	A
LJIJ01005211.1	12421	49.07	81.05	X
LJIJ01005212.1	12420	76.26	34.10	A
LJIJ01005213.1	12416	79.56	24.32	A
LJIJ01005214.1	12415	9.81	18.27	X
LJIJ01005215.1	12405	777.51	10.27	A
LJIJ01005216.1	12405	34.87	31.51	X
LJIJ01005217.1	12404	96.43	40.53	A
LJIJ01005218.1	12398	67.53	23.53	A
LJIJ01005219.1	12398	48.58	36.57	A
LJIJ01005220.1	12390	597.14	61.30	A
LJIJ01005221.1	12389	41.02	25.95	A
LJIJ01005222.1	12384	77.28	21.70	A
LJIJ01005223.1	12382	129.75	70.58	A
LJIJ01005224.1	12381	47.50	23.79	A
LJIJ01005225.1	12378	36.09	30.23	X
LJIJ01005226.1	12370	154.15	80.75	A
LJIJ01005227.1	12369	25.57	23.11	X
LJIJ01005228.1	12365	87.50	48.48	A
LJIJ01005229.1	12364	74.31	15.57	A
LJIJ01005230.1	12362	59.61	32.28	A
LJIJ01005231.1	12362	34.39	20.54	A
LJIJ01005232.1	12361	60.70	71.47	X
LJIJ01005233.1	12361	89.55	42.22	A
LJIJ01005234.1	12359	128.38	81.72	A
LJIJ01005235.1	12354	100.33	55.21	A
LJIJ01005236.1	12350	64.91	46.86	A
LJIJ01005237.1	12345	41.99	18.29	A
LJIJ01005238.1	12344	29.98	17.74	A
LJIJ01005239.1	12344	52.00	21.58	A
LJIJ01005240.1	12343	100.74	59.30	A
LJIJ01005241.1	12338	85.85	40.52	A
LJIJ01005242.1	12332	26.96	27.15	X
LJIJ01005243.1	12328	61.49	36.17	A
LJIJ01005244.1	12326	96.16	53.94	A
LJIJ01005245.1	12319	145.31	252.05	X
LJIJ01005246.1	12317	86.20	39.08	A
LJIJ01005247.1	12313	36.63	31.92	X
LJIJ01005248.1	12304	21.52	19.85	X
LJIJ01005249.1	12304	42.95	24.24	A
LJIJ01005250.1	12296	66.13	29.62	A
LJIJ01005251.1	12294	50.67	56.22	X
LJIJ01005252.1	12291	76.73	43.83	A
LJIJ01005253.1	12287	33.85	45.23	X
LJIJ01005254.1	12285	79.24	108.90	X
LJIJ01005255.1	12280	16.45	9.95	A
LJIJ01005256.1	12280	49.98	22.32	A
LJIJ01005257.1	12279	49.23	27.07	A
LJIJ01005258.1	12278	80.37	35.93	A
LJIJ01005259.1	12273	78.75	29.31	A
LJIJ01005260.1	12271	58.39	56.94	X
LJIJ01005261.1	12270	29.78	32.41	X
LJIJ01005262.1	12268	419.22	51.79	A
LJIJ01005263.1	12266	43.16	22.80	A
LJIJ01005264.1	12261	71.93	22.60	A
LJIJ01005265.1	12258	162.10	45.88	A
LJIJ01005266.1	12258	40.11	35.95	X
LJIJ01005267.1	12258	4.92	7.48	X
LJIJ01005268.1	12255	63.04	32.90	A
LJIJ01005269.1	12254	75.85	56.53	A
LJIJ01005270.1	12249	47.15	35.17	A
LJIJ01005271.1	12246	29.11	20.58	A
LJIJ01005272.1	12242	26.71	41.01	X
LJIJ01005273.1	12242	30.46	41.17	X
LJIJ01005274.1	12239	47.44	46.44	X
LJIJ01005275.1	12234	59.18	27.34	A
LJIJ01005276.1	12232	57.84	20.54	A
LJIJ01005277.1	12231	56.09	32.36	A
LJIJ01005278.1	12231	733.25	202.20	A
LJIJ01005279.1	12229	51.21	13.89	A
LJIJ01005280.1	12229	30.11	46.11	X
LJIJ01005281.1	12222	52.29	58.54	X
LJIJ01005282.1	12221	110.66	20.06	A
LJIJ01005283.1	12217	88.06	36.19	A
LJIJ01005284.1	12215	95.67	40.93	A
LJIJ01005285.1	12214	86.03	35.36	A
LJIJ01005286.1	12209	11.71	14.11	X
LJIJ01005287.1	12206	39.77	64.76	X
LJIJ01005288.1	12204	43.18	48.12	X
LJIJ01005289.1	12203	122.59	59.76	A
LJIJ01005290.1	12202	54.47	28.30	A
LJIJ01005291.1	12194	133.98	25.76	A
LJIJ01005292.1	12192	88.72	50.75	A
LJIJ01005293.1	12191	56.25	20.86	A
LJIJ01005294.1	12182	172.21	48.05	A
LJIJ01005295.1	12182	87.44	40.84	A
LJIJ01005296.1	12181	98.85	102.78	X
LJIJ01005297.1	12179	50.35	46.31	X
LJIJ01005298.1	12178	53.34	28.12	A
LJIJ01005299.1	12177	55.18	35.05	A
LJIJ01005300.1	12172	136.51	71.94	A
LJIJ01005301.1	12171	83.04	38.62	A
LJIJ01005302.1	12168	103.56	39.26	A
LJIJ01005303.1	12156	35.92	57.54	X
LJIJ01005304.1	12155	79.89	23.11	A
LJIJ01005305.1	12152	39.37	35.07	X
LJIJ01005306.1	12151	107.99	63.10	A
LJIJ01005307.1	12144	80.41	45.52	A
LJIJ01005308.1	12140	63.14	18.14	A
LJIJ01005309.1	12139	67.30	31.43	A
LJIJ01005310.1	12138	10.33	17.52	X
LJIJ01005311.1	12138	106.68	30.69	A
LJIJ01005312.1	12135	106.47	77.06	A
LJIJ01005313.1	12128	53.52	42.43	A
LJIJ01005314.1	12121	61.20	33.61	A
LJIJ01005315.1	12120	131.98	82.82	A
LJIJ01005316.1	12116	68.15	15.24	A
LJIJ01005317.1	12115	34.80	19.00	A
LJIJ01005318.1	12111	64.91	39.12	A
LJIJ01005319.1	12108	182.69	73.71	A
LJIJ01005320.1	12106	98.53	42.88	A
LJIJ01005321.1	12096	82.36	36.50	A
LJIJ01005322.1	12093	48.52	29.64	A
LJIJ01005323.1	12091	49.59	21.58	A
LJIJ01005324.1	12090	46.76	45.01	X
LJIJ01005325.1	12087	27.74	18.64	A
LJIJ01005326.1	12087	81.22	29.18	A
LJIJ01005327.1	12085	17.28	15.78	X
LJIJ01005328.1	12084	95.86	46.94	A
LJIJ01005329.1	12083	99.22	62.11	A
LJIJ01005330.1	12083	51.43	50.41	X
LJIJ01005331.1	12080	82.03	58.45	A
LJIJ01005332.1	12078	47.81	19.86	A
LJIJ01005333.1	12076	82.87	34.00	A
LJIJ01005334.1	12074	15.80	17.44	X
LJIJ01005335.1	12071	45.24	30.33	A
LJIJ01005336.1	12070	84.41	22.59	A
LJIJ01005337.1	12068	45.73	11.18	A
LJIJ01005338.1	12065	81.97	35.89	A
LJIJ01005339.1	12065	59.76	38.54	A
LJIJ01005340.1	12065	23.10	21.92	X
LJIJ01005341.1	12063	66.21	78.24	X
LJIJ01005342.1	12061	98.44	75.12	A
LJIJ01005343.1	12060	19.91	4.41	A
LJIJ01005344.1	12058	251.65	35.83	A
LJIJ01005345.1	12058	30.26	16.73	A
LJIJ01005346.1	12054	44.96	29.42	A
LJIJ01005347.1	12046	64.31	52.52	A
LJIJ01005348.1	12043	178.12	35.58	A
LJIJ01005349.1	12042	44.92	20.77	A
LJIJ01005350.1	12042	105.82	42.52	A
LJIJ01005351.1	12040	77.96	58.93	A
LJIJ01005352.1	12039	39.36	55.45	X
LJIJ01005353.1	12035	47.97	46.86	X
LJIJ01005354.1	12034	39.68	7.25	A
LJIJ01005355.1	12032	67.14	41.40	A
LJIJ01005356.1	12031	73.82	26.46	A
LJIJ01005357.1	12029	58.30	27.40	A
LJIJ01005358.1	12025	24.57	15.37	A
LJIJ01005359.1	12024	76.97	27.12	A
LJIJ01005360.1	12024	10.14	52.10	X
LJIJ01005361.1	12023	77.86	39.22	A
LJIJ01005362.1	12020	65.04	37.06	A
LJIJ01005363.1	12018	24.25	26.71	X
LJIJ01005364.1	12016	44.88	41.48	X
LJIJ01005365.1	12013	23.33	50.25	X
LJIJ01005366.1	12013	46.31	26.14	A
LJIJ01005367.1	12013	66.57	46.10	A
LJIJ01005368.1	12011	77.61	43.04	A
LJIJ01005369.1	12003	35.63	38.73	X
LJIJ01005370.1	12001	33.50	49.64	X
LJIJ01005371.1	12000	19.76	21.73	X
LJIJ01005372.1	11991	49.09	50.85	X
LJIJ01005373.1	11987	74.10	69.31	X
LJIJ01005374.1	11987	523.25	294.33	A
LJIJ01005375.1	11982	30.61	64.20	X
LJIJ01005376.1	11981	40.80	37.62	X
LJIJ01005377.1	11979	115.46	5.66	A
LJIJ01005378.1	11978	41.69	24.32	A
LJIJ01005379.1	11978	141.27	29.82	A
LJIJ01005380.1	11967	70.07	22.65	A
LJIJ01005381.1	11957	102.01	38.68	A
LJIJ01005382.1	11957	79.22	37.04	A
LJIJ01005383.1	11957	25.78	16.02	A
LJIJ01005384.1	11953	42.64	37.28	X
LJIJ01005385.1	11950	101.95	50.25	A
LJIJ01005386.1	11947	146.77	44.76	A
LJIJ01005387.1	11947	8.47	31.29	X
LJIJ01005388.1	11947	6.68	57.87	X
LJIJ01005389.1	11939	38.49	33.89	X
LJIJ01005390.1	11937	93.41	64.12	A
LJIJ01005391.1	11936	105.53	55.57	A
LJIJ01005392.1	11935	22.11	16.86	A
LJIJ01005393.1	11934	63.52	55.83	X
LJIJ01005394.1	11932	86.17	58.05	A
LJIJ01005395.1	11930	83.36	44.56	A
LJIJ01005396.1	11929	54.23	25.53	A
LJIJ01005397.1	11924	28.19	15.06	A
LJIJ01005398.1	11920	33.47	30.76	X
LJIJ01005399.1	11919	72.82	26.44	A
LJIJ01005400.1	11914	63.49	26.88	A
LJIJ01005401.1	11908	65.95	33.56	A
LJIJ01005402.1	11908	74.21	30.79	A
LJIJ01005403.1	11904	59.82	25.83	A
LJIJ01005404.1	11903	124.98	66.65	A
LJIJ01005405.1	11903	76.21	58.33	A
LJIJ01005406.1	11902	97.99	51.64	A
LJIJ01005407.1	11899	17.20	15.34	X
LJIJ01005408.1	11893	22.94	7.17	A
LJIJ01005409.1	11891	107.45	55.16	A
LJIJ01005410.1	11889	57.91	34.32	A
LJIJ01005411.1	11888	72.83	40.24	A
LJIJ01005412.1	11887	23.18	17.94	A
LJIJ01005413.1	11885	31.64	24.20	A
LJIJ01005414.1	11884	47.81	19.53	A
LJIJ01005415.1	11882	43.78	16.78	A
LJIJ01005416.1	11882	88.99	84.04	X
LJIJ01005417.1	11875	121.70	45.12	A
LJIJ01005418.1	11873	89.23	33.24	A
LJIJ01005419.1	11872	51.51	45.63	X
LJIJ01005420.1	11872	73.89	38.40	A
LJIJ01005421.1	11872	34.39	44.21	X
LJIJ01005422.1	11871	59.90	35.85	A
LJIJ01005423.1	11870	63.91	40.24	A
LJIJ01005424.1	11867	41.55	36.57	X
LJIJ01005425.1	11867	63.11	33.74	A
LJIJ01005426.1	11863	135.68	45.56	A
LJIJ01005427.1	11860	18.73	9.58	A
LJIJ01005428.1	11859	989.77	711.56	A
LJIJ01005429.1	11859	611.87	295.83	A
LJIJ01005430.1	11853	107.32	60.49	A
LJIJ01005431.1	11853	20.78	14.55	A
LJIJ01005432.1	11851	19.94	17.78	X
LJIJ01005433.1	11848	40.26	13.23	A
LJIJ01005434.1	11843	32.78	63.33	X
LJIJ01005435.1	11840	250.60	62.99	A
LJIJ01005436.1	11840	40.95	25.80	A
LJIJ01005437.1	11840	135.17	43.77	A
LJIJ01005438.1	11839	19.62	28.20	X
LJIJ01005439.1	11839	23.66	25.65	X
LJIJ01005440.1	11838	5.78	56.86	X
LJIJ01005441.1	11836	80.15	12.14	A
LJIJ01005442.1	11834	125.25	49.55	A
LJIJ01005443.1	11833	120.86	69.76	A
LJIJ01005444.1	11832	49.16	45.51	X
LJIJ01005445.1	11831	76.35	25.32	A
LJIJ01005446.1	11826	546.78	0.30	A
LJIJ01005447.1	11824	55.41	90.07	X
LJIJ01005448.1	11822	53.69	92.91	X
LJIJ01005449.1	11822	31.30	10.06	A
LJIJ01005450.1	11822	26.07	11.04	A
LJIJ01005451.1	11821	17.49	17.81	X
LJIJ01005452.1	11818	71.53	62.64	X
LJIJ01005453.1	11817	45.39	61.38	X
LJIJ01005454.1	11815	44.28	25.99	A
LJIJ01005455.1	11814	53.61	21.79	A
LJIJ01005456.1	11813	39.29	30.06	A
LJIJ01005457.1	11812	18.83	26.52	X
LJIJ01005458.1	11812	83.74	24.45	A
LJIJ01005459.1	11811	63.62	21.95	A
LJIJ01005460.1	11811	29.25	13.37	A
LJIJ01005461.1	11810	51.83	48.81	X
LJIJ01005462.1	11810	80.76	38.59	A
LJIJ01005463.1	11806	36.44	45.49	X
LJIJ01005464.1	11804	32.89	29.71	X
LJIJ01005465.1	11803	47.01	20.16	A
LJIJ01005466.1	11801	46.45	24.31	A
LJIJ01005467.1	11801	42.02	24.19	A
LJIJ01005468.1	11798	50.45	44.62	X
LJIJ01005469.1	11797	43.13	9.69	A
LJIJ01005470.1	11797	105.49	32.05	A
LJIJ01005471.1	11797	69.90	34.25	A
LJIJ01005472.1	11795	63.48	39.93	A
LJIJ01005473.1	11795	100.07	47.74	A
LJIJ01005474.1	11783	19.52	15.48	A
LJIJ01005475.1	11781	74.26	47.52	A
LJIJ01005476.1	11779	19.95	12.83	A
LJIJ01005477.1	11777	93.60	49.95	A
LJIJ01005478.1	11775	33.18	10.02	A
LJIJ01005479.1	11773	80.74	53.68	A
LJIJ01005480.1	11770	37.71	62.31	X
LJIJ01005481.1	11769	44.45	15.91	A
LJIJ01005482.1	11769	94.44	55.06	A
LJIJ01005483.1	11765	56.55	25.15	A
LJIJ01005484.1	11764	95.65	56.71	A
LJIJ01005485.1	11757	64.27	33.15	A
LJIJ01005486.1	11752	40.13	11.18	A
LJIJ01005487.1	11752	92.78	48.27	A
LJIJ01005488.1	11751	37.00	22.73	A
LJIJ01005489.1	11750	135.64	61.52	A
LJIJ01005490.1	11749	61.93	100.49	X
LJIJ01005491.1	11746	0.99	36.14	X
LJIJ01005492.1	11739	76.76	40.71	A
LJIJ01005493.1	11739	161.17	65.98	A
LJIJ01005494.1	11735	100.32	61.99	A
LJIJ01005495.1	11730	64.32	18.20	A
LJIJ01005496.1	11729	114.59	49.92	A
LJIJ01005497.1	11712	66.84	41.21	A
LJIJ01005498.1	11707	73.99	35.24	A
LJIJ01005499.1	11703	113.84	32.06	A
LJIJ01005500.1	11703	70.42	46.05	A
LJIJ01005501.1	11703	51.41	21.82	A
LJIJ01005502.1	11702	62.82	27.35	A
LJIJ01005503.1	11699	31.33	31.43	X
LJIJ01005504.1	11698	11.32	31.05	X
LJIJ01005505.1	11695	28.12	33.53	X
LJIJ01005506.1	11693	64.63	30.60	A
LJIJ01005507.1	11689	128.35	131.42	X
LJIJ01005508.1	11681	39.37	30.59	A
LJIJ01005509.1	11681	107.52	37.19	A
LJIJ01005510.1	11680	81.04	55.99	A
LJIJ01005511.1	11680	96.14	28.78	A
LJIJ01005512.1	11678	200.51	66.15	A
LJIJ01005513.1	11675	85.22	47.48	A
LJIJ01005514.1	11672	89.11	54.01	A
LJIJ01005515.1	11666	138.22	62.31	A
LJIJ01005516.1	11664	76.09	39.71	A
LJIJ01005517.1	11662	96.26	39.90	A
LJIJ01005518.1	11648	94.46	42.82	A
LJIJ01005519.1	11644	60.16	31.63	A
LJIJ01005520.1	11644	16.98	26.04	X
LJIJ01005521.1	11640	52.40	31.42	A
LJIJ01005522.1	11639	56.49	25.32	A
LJIJ01005523.1	11635	111.88	9.29	A
LJIJ01005524.1	11631	58.54	21.49	A
LJIJ01005525.1	11629	100.42	44.04	A
LJIJ01005526.1	11629	5.74	60.28	X
LJIJ01005527.1	11625	14.38	9.15	A
LJIJ01005528.1	11624	66.63	23.51	A
LJIJ01005529.1	11622	63.77	35.59	A
LJIJ01005530.1	11619	27.37	21.05	A
LJIJ01005531.1	11616	90.16	26.32	A
LJIJ01005532.1	11616	10.88	165.56	X
LJIJ01005533.1	11615	86.48	21.94	A
LJIJ01005534.1	11614	102.94	51.12	A
LJIJ01005535.1	11610	20.60	25.88	X
LJIJ01005536.1	11600	56.90	54.83	X
LJIJ01005537.1	11597	2.33	2.20	X
LJIJ01005538.1	11595	47.53	51.17	X
LJIJ01005539.1	11595	42.83	21.45	A
LJIJ01005540.1	11592	17.20	15.79	X
LJIJ01005541.1	11592	48.15	24.64	A
LJIJ01005542.1	11592	65.63	34.23	A
LJIJ01005543.1	11588	63.91	48.55	A
LJIJ01005544.1	11586	44.72	27.63	A
LJIJ01005545.1	11584	51.23	28.28	A
LJIJ01005546.1	11582	54.48	30.22	A
LJIJ01005547.1	11581	40.99	43.89	X
LJIJ01005548.1	11580	52.48	36.07	A
LJIJ01005549.1	11576	91.09	49.35	A
LJIJ01005550.1	11565	21.62	15.34	A
LJIJ01005551.1	11564	96.99	78.11	A
LJIJ01005552.1	11555	9.49	17.57	X
LJIJ01005553.1	11554	79.71	42.84	A
LJIJ01005554.1	11551	18.52	24.44	X
LJIJ01005555.1	11536	84.68	49.10	A
LJIJ01005556.1	11535	76.09	40.40	A
LJIJ01005557.1	11533	25.92	78.21	X
LJIJ01005558.1	11531	239.03	83.88	A
LJIJ01005559.1	11530	143.64	107.61	A
LJIJ01005560.1	11524	97.65	49.80	A
LJIJ01005561.1	11523	68.83	21.81	A
LJIJ01005562.1	11522	97.20	93.31	X
LJIJ01005563.1	11522	194.99	138.13	A
LJIJ01005564.1	11520	54.60	61.19	X
LJIJ01005565.1	11519	73.97	51.46	A
LJIJ01005566.1	11518	155.20	35.60	A
LJIJ01005567.1	11512	14.86	19.43	X
LJIJ01005568.1	11511	98.08	35.15	A
LJIJ01005569.1	11510	66.65	39.61	A
LJIJ01005570.1	11509	55.86	56.64	X
LJIJ01005571.1	11507	108.06	13.81	A
LJIJ01005572.1	11506	22.58	45.14	X
LJIJ01005573.1	11505	58.80	42.21	A
LJIJ01005574.1	11505	54.13	46.72	X
LJIJ01005575.1	11505	34.55	23.65	A
LJIJ01005576.1	11501	46.51	19.98	A
LJIJ01005577.1	11499	10.39	37.84	X
LJIJ01005578.1	11498	108.91	62.58	A
LJIJ01005579.1	11491	16.90	5.62	A
LJIJ01005580.1	11488	55.93	53.22	X
LJIJ01005581.1	11488	43.18	14.85	A
LJIJ01005582.1	11481	29.54	30.30	X
LJIJ01005583.1	11478	32.38	19.53	A
LJIJ01005584.1	11473	42.00	51.45	X
LJIJ01005585.1	11471	36.90	21.05	A
LJIJ01005586.1	11470	77.84	58.83	A
LJIJ01005587.1	11468	37.01	29.02	A
LJIJ01005588.1	11464	34.79	31.61	X
LJIJ01005589.1	11463	20.68	44.49	X
LJIJ01005590.1	11462	35.22	48.45	X
LJIJ01005591.1	11454	18.70	49.02	X
LJIJ01005592.1	11453	98.10	43.10	A
LJIJ01005593.1	11453	138.93	78.74	A
LJIJ01005594.1	11445	49.68	37.19	A
LJIJ01005595.1	11445	150.82	59.38	A
LJIJ01005596.1	11445	59.32	22.24	A
LJIJ01005597.1	11444	12.35	12.21	X
LJIJ01005598.1	11436	153.75	75.55	A
LJIJ01005599.1	11436	73.04	29.39	A
LJIJ01005600.1	11434	13.50	36.57	X
LJIJ01005601.1	11431	96.93	52.30	A
LJIJ01005602.1	11430	49.97	30.72	A
LJIJ01005603.1	11429	101.14	31.11	A
LJIJ01005604.1	11428	187.63	295.74	X
LJIJ01005605.1	11428	69.91	20.82	A
LJIJ01005606.1	11427	45.18	22.21	A
LJIJ01005607.1	11427	2.96	44.29	X
LJIJ01005608.1	11424	53.06	50.05	X
LJIJ01005609.1	11422	67.90	43.20	A
LJIJ01005610.1	11421	124.13	42.36	A
LJIJ01005611.1	11420	40.52	28.43	A
LJIJ01005612.1	11419	24.68	39.10	X
LJIJ01005613.1	11409	26.50	18.92	A
LJIJ01005614.1	11409	42.45	23.13	A
LJIJ01005615.1	11407	105.17	73.55	A
LJIJ01005616.1	11403	28.48	15.23	A
LJIJ01005617.1	11401	10.44	23.22	X
LJIJ01005618.1	11395	92.81	48.83	A
LJIJ01005619.1	11393	228.55	59.80	A
LJIJ01005620.1	11392	44.77	22.96	A
LJIJ01005621.1	11387	74.95	24.83	A
LJIJ01005622.1	11383	68.26	44.91	A
LJIJ01005623.1	11383	38.63	42.21	X
LJIJ01005624.1	11382	25.62	9.84	A
LJIJ01005625.1	11378	46.65	45.62	X
LJIJ01005626.1	11373	30.12	25.28	X
LJIJ01005627.1	11367	78.15	59.99	A
LJIJ01005628.1	11366	75.80	39.72	A
LJIJ01005629.1	11364	63.93	76.85	X
LJIJ01005630.1	11356	39.15	25.90	A
LJIJ01005631.1	11352	45.56	42.93	X
LJIJ01005632.1	11350	49.58	76.78	X
LJIJ01005633.1	11350	33.48	18.47	A
LJIJ01005634.1	11347	57.40	66.12	X
LJIJ01005635.1	11343	154.30	41.52	A
LJIJ01005636.1	11341	48.36	20.27	A
LJIJ01005637.1	11340	57.58	33.38	A
LJIJ01005638.1	11340	161.62	18.22	A
LJIJ01005639.1	11338	47.80	29.91	A
LJIJ01005640.1	11333	10.15	51.33	X
LJIJ01005641.1	11333	53.96	55.85	X
LJIJ01005642.1	11332	55.51	33.29	A
LJIJ01005643.1	11329	7.58	36.19	X
LJIJ01005644.1	11324	44.88	26.84	A
LJIJ01005645.1	11321	66.80	27.64	A
LJIJ01005646.1	11318	18.09	19.46	X
LJIJ01005647.1	11317	28.41	15.92	A
LJIJ01005648.1	11317	43.64	50.64	X
LJIJ01005649.1	11313	32.38	8.44	A
LJIJ01005650.1	11313	6.69	47.89	X
LJIJ01005651.1	11311	162.29	27.66	A
LJIJ01005652.1	11304	86.61	56.06	A
LJIJ01005653.1	11292	53.06	19.09	A
LJIJ01005654.1	11291	43.48	22.51	A
LJIJ01005655.1	11291	25.05	5.56	A
LJIJ01005656.1	11289	7.74	17.38	X
LJIJ01005657.1	11287	47.77	33.90	A
LJIJ01005658.1	11280	67.26	48.41	A
LJIJ01005659.1	11279	38.53	25.15	A
LJIJ01005660.1	11278	47.48	38.51	A
LJIJ01005661.1	11278	17.11	46.82	X
LJIJ01005662.1	11277	16.63	31.00	X
LJIJ01005663.1	11276	40.27	72.65	X
LJIJ01005664.1	11276	17.81	15.18	X
LJIJ01005665.1	11265	52.80	25.95	A
LJIJ01005666.1	11263	23.04	13.82	A
LJIJ01005667.1	11262	30.00	14.59	A
LJIJ01005668.1	11261	72.53	47.45	A
LJIJ01005669.1	11259	66.94	75.20	X
LJIJ01005670.1	11250	103.33	43.52	A
LJIJ01005671.1	11248	98.00	38.64	A
LJIJ01005672.1	11247	31.16	32.53	X
LJIJ01005673.1	11247	60.71	55.11	X
LJIJ01005674.1	11242	31.45	29.12	X
LJIJ01005675.1	11241	53.29	253.99	X
LJIJ01005676.1	11240	21.47	6.32	A
LJIJ01005677.1	11239	146.33	39.08	A
LJIJ01005678.1	11235	54.54	52.27	X
LJIJ01005679.1	11234	64.85	43.72	A
LJIJ01005680.1	11228	34.63	12.32	A
LJIJ01005681.1	11226	210.81	147.67	A
LJIJ01005682.1	11226	77.05	20.54	A
LJIJ01005683.1	11222	103.64	61.50	A
LJIJ01005684.1	11222	51.29	19.68	A
LJIJ01005685.1	11220	70.08	43.15	A
LJIJ01005686.1	11219	46.03	38.36	A
LJIJ01005687.1	11215	25.18	16.19	A
LJIJ01005688.1	11212	29.18	17.56	A
LJIJ01005689.1	11210	89.50	40.60	A
LJIJ01005690.1	11207	92.39	40.41	A
LJIJ01005691.1	11206	67.68	41.85	A
LJIJ01005692.1	11205	69.23	62.58	X
LJIJ01005693.1	11205	33.02	15.05	A
LJIJ01005694.1	11203	22.43	16.94	A
LJIJ01005695.1	11193	48.63	13.54	A
LJIJ01005696.1	11193	103.63	51.58	A
LJIJ01005697.1	11191	7.97	44.79	X
LJIJ01005698.1	11190	30.97	26.93	X
LJIJ01005699.1	11188	85.22	43.26	A
LJIJ01005700.1	11183	121.37	42.41	A
LJIJ01005701.1	11183	123.51	40.76	A
LJIJ01005702.1	11180	67.72	32.12	A
LJIJ01005703.1	11178	70.13	32.62	A
LJIJ01005704.1	11178	5.92	16.54	X
LJIJ01005705.1	11177	20.12	60.12	X
LJIJ01005706.1	11177	47.84	84.88	X
LJIJ01005707.1	11175	132.38	57.23	A
LJIJ01005708.1	11172	84.92	52.25	A
LJIJ01005709.1	11169	6.84	13.32	X
LJIJ01005710.1	11168	70.22	45.50	A
LJIJ01005711.1	11168	24.99	19.66	A
LJIJ01005712.1	11164	54.89	59.14	X
LJIJ01005713.1	11163	54.88	43.76	A
LJIJ01005714.1	11161	31.03	35.48	X
LJIJ01005715.1	11159	16.89	12.15	A
LJIJ01005716.1	11159	57.83	15.97	A
LJIJ01005717.1	11157	66.57	39.14	A
LJIJ01005718.1	11153	76.16	27.41	A
LJIJ01005719.1	11148	22.44	11.70	A
LJIJ01005720.1	11147	2.64	26.44	X
LJIJ01005721.1	11144	27.52	24.09	X
LJIJ01005722.1	11139	46.02	18.04	A
LJIJ01005723.1	11137	40.37	16.65	A
LJIJ01005724.1	11131	22.23	8.59	A
LJIJ01005725.1	11131	20.62	41.01	X
LJIJ01005726.1	11128	121.52	56.37	A
LJIJ01005727.1	11121	32.63	18.53	A
LJIJ01005728.1	11120	49.56	34.20	A
LJIJ01005729.1	11120	36.78	5.93	A
LJIJ01005730.1	11118	44.64	20.75	A
LJIJ01005731.1	11118	120.95	83.00	A
LJIJ01005732.1	11116	84.01	95.97	X
LJIJ01005733.1	11116	60.26	32.73	A
LJIJ01005734.1	11113	78.60	56.70	A
LJIJ01005735.1	11109	101.79	46.94	A
LJIJ01005736.1	11104	332.35	109.53	A
LJIJ01005737.1	11104	43.81	26.56	A
LJIJ01005738.1	11103	36.02	47.69	X
LJIJ01005739.1	11102	60.84	44.88	A
LJIJ01005740.1	11102	37.84	32.32	X
LJIJ01005741.1	11101	90.75	39.92	A
LJIJ01005742.1	11095	115.31	66.09	A
LJIJ01005743.1	11095	90.09	35.83	A
LJIJ01005744.1	11093	62.57	23.92	A
LJIJ01005745.1	11093	48.33	67.00	X
LJIJ01005746.1	11089	120.71	14.86	A
LJIJ01005747.1	11086	25.15	33.80	X
LJIJ01005748.1	11079	47.08	45.74	X
LJIJ01005749.1	11073	78.71	53.28	A
LJIJ01005750.1	11072	27.10	27.22	X
LJIJ01005751.1	11068	130.55	75.21	A
